10000,297
20000,1113
30000,2352
40000,4154
50000,6385
60000,9227
70000,12671
80000,16227
90000,20953
100000,26003
110000,31768
120000,37986
130000,44114
140000,52117
150000,60985
160000,70111,
170000,80878,
180000,92382,
190000,105008,
200000,117137,
210000,129284,
220000,143621,
230000,159832,
240000,175228,
250000,192695,
260000,208487,
270000,227194,
280000,249815,
290000,267059,
300000,289593,
310000,310681,
320000,336154,
330000,356206,
340000,376452,
350000,402655,
360000,430166,
370000,456257,
380000,489014,
390000,512601,
400000,539945,
410000,573484,
420000,602649,
430000,636221,
440000,669687,
450000,696047,
460000,726205,
470000,774029,
480000,806451,
490000,853353,
500000,884146,
